,City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
284,Steamboat Springs,1,US,1590158161,50.0,6.02,40.48,-106.83,64
285,Arman',60,RU,1590158161,42.48,6.82,59.7,150.17,65
286,Calama,0,CL,1590157931,59.0,20.8,-22.47,-68.93,8
287,Barcelona,22,ES,1590158143,87.8,10.29,41.39,2.16,29
288,Birao,1,CF,1590158162,96.22,3.96,10.28,22.79,33
289,Comodoro Rivadavia,100,AR,1590158162,51.8,9.17,-45.87,-67.5,53
290,La Santisima Trinidad,75,BO,1590157875,80.6,4.7,-14.83,-64.9,88
291,Snåase,36,NO,1590158162,54.21,14.45,64.25,12.38,73
292,Korbach,100,DE,1590158162,75.2,11.41,51.28,8.87,60
293,Ingham,90,US,1590158163,61.0,3.27,42.6,-84.38,93
294,Los Llanos de Aridane,20,ES,1590158163,75.2,17.22,28.66,-17.92,57
295,Robertsport,44,LR,1590158163,82.69,11.63,6.75,-11.37,81
296,Conway,90,US,1590158163,68.0,4.7,35.09,-92.44,94
297,Khovd,100,MN,1590158164,59.99,12.64,48.01,91.64,34
298,Bosaso,1,SO,1590158164,91.62,3.27,11.28,49.18,52
299,Korla,90,CN,1590157813,76.28,5.19,41.76,86.15,22
300,Katobu,100,ID,1590158164,75.85,1.88,-4.94,122.53,93
301,Baturaja,100,ID,1590158164,73.81,2.26,-4.13,104.17,96
302,Iquitos,40,PE,1590158164,84.2,4.7,-3.75,-73.25,79
303,Kangaba,47,ML,1590158164,103.68,5.14,11.93,-8.42,17
304,Houston,40,US,1590157930,82.99,16.11,29.76,-95.36,78
305,Faya,75,SA,1590158165,75.2,6.93,18.39,42.45,49
306,Edéa,75,CM,1590158165,87.8,4.7,3.8,10.13,66
307,Subirana,40,HN,1590158165,89.6,9.17,15.2,-87.45,55
308,Manicoré,20,BR,1590158165,82.4,3.36,-5.81,-61.3,83
309,Bengkulu,99,ID,1590157876,79.61,4.05,-3.8,102.27,84
310,Cibeureum,98,ID,1590158165,74.35,1.54,-7.36,108.27,92
311,Walvis Bay,0,NA,1590158165,80.6,11.41,-22.96,14.51,34
312,Muzhi,24,RU,1590158166,60.69,13.49,65.37,64.67,48
313,Shache,0,CN,1590158166,76.17,9.71,38.42,77.24,19
314,Omboué,10,GA,1590158166,83.52,8.05,-1.57,9.26,74
315,Kargopol',99,RU,1590158218,46.2,10.96,61.51,38.95,56
316,Minudasht,0,IR,1590158218,98.6,4.7,37.23,55.37,30
317,Oktyabr'skoye,100,RU,1590158219,77.0,15.66,43.06,44.74,57
318,Thompson,90,CA,1590157811,33.8,12.75,55.74,-97.86,90
319,Songyang,0,CN,1590158219,84.99,3.8,34.46,113.03,99
320,Giresun Province,75,TR,1590158220,60.8,11.41,40.5,38.5,87
321,Yar-Sale,46,RU,1590157941,62.83,10.42,66.83,70.83,40
322,Cheney,90,US,1590158220,39.99,13.87,47.49,-117.58,100
323,Flinders,100,AU,1590158194,55.0,8.99,-34.58,150.86,74
324,Offa,99,NG,1590158220,84.25,5.88,8.15,4.72,67
325,Mayo,90,US,1590158220,64.99,4.7,38.89,-76.51,100
326,Whitehorse,5,CA,1590157948,42.8,6.93,60.72,-135.05,52
327,Kalmar,61,SE,1590158221,59.0,14.99,56.66,16.36,54
328,Kamina,45,CD,1590158221,78.94,3.49,-8.74,24.99,52
329,Traralgon,100,AU,1590158221,39.99,2.84,-38.18,146.53,95
330,Haines Junction,12,CA,1590158211,44.71,2.89,60.75,-137.51,61
331,Faanui,0,PF,1590158002,79.54,24.23,-16.48,-151.75,78
332,Luganville,55,VU,1590158222,75.18,11.16,-15.53,167.17,82
333,Lerwick,60,GB,1590158222,57.2,26.4,60.15,-1.15,71
334,Puruliya,0,IN,1590158222,88.99,9.8,23.33,86.37,47
335,Kamenka,78,RU,1590158222,62.01,4.0,51.32,42.77,38
336,Mackay,90,AU,1590158222,57.2,6.93,-21.15,149.2,93
337,Ondjiva,0,AO,1590158222,82.4,9.17,-17.07,15.73,26
338,Manokwari,100,ID,1590158222,81.05,3.67,-0.87,134.08,78
339,Conceição da Barra,32,BR,1590158138,81.23,5.53,-18.59,-39.73,64
340,Mount Isa,75,AU,1590158223,51.8,8.05,-20.73,139.5,76
341,Zaplavnoye,75,RU,1590158223,51.8,11.18,48.7,45.02,93
342,Buraidah,20,SA,1590158193,100.4,8.05,26.33,43.98,13
343,Maniitsoq,4,GL,1590158223,39.13,3.0,65.42,-52.9,75
344,San José del Palmar,40,CO,1590158223,75.2,2.24,4.97,-76.23,83
345,Sistranda,20,NO,1590158223,64.4,26.4,63.73,8.83,48
346,Mimongo,31,GA,1590158224,78.78,3.02,-1.62,11.61,85
347,San Miguel de Cozumel,75,MX,1590158224,82.0,8.05,20.51,-86.95,88
348,Kourou,28,GF,1590158224,84.2,16.11,5.16,-52.65,79
349,Farmington,1,US,1590157958,46.4,9.17,36.73,-108.22,22
350,Muravlenko,100,RU,1590158224,64.02,11.56,63.79,74.52,41
351,Quatre Cocos,40,MU,1590158175,75.2,17.22,-20.21,57.76,64
352,Lakes Entrance,100,AU,1590158224,48.99,12.41,-37.88,147.98,83
353,Ipixuna,75,BR,1590158225,84.2,6.93,-1.76,-48.8,74
354,Kodinsk,0,RU,1590158003,60.21,3.04,58.69,99.18,41
355,Bose,98,IT,1590158225,80.01,2.82,45.46,8.01,43
356,Labuhan,86,ID,1590157938,81.54,3.87,-6.88,112.21,80
357,Sitka,90,US,1590158193,46.4,4.7,57.05,-135.33,87
358,Port Blair,75,IN,1590158225,84.09,5.91,11.67,92.75,82
359,Humaitá,67,BR,1590158226,89.19,1.86,-7.51,-63.02,65
360,Zaragoza,21,ES,1590158278,89.6,3.36,41.66,-0.88,33
361,Presidencia Roque Sáenz Peña,98,AR,1590158278,56.68,20.31,-26.79,-60.44,73
362,Kamennomostskiy,100,RU,1590158278,54.41,4.81,44.3,40.19,92
363,Nuristan,97,AF,1590158278,38.77,6.49,35.3,70.83,71
364,Sanchursk,25,RU,1590158278,50.79,6.76,56.94,47.25,72
365,Sulangan,100,PH,1590158278,85.98,2.42,11.14,123.72,69
366,Gilgit,100,PK,1590158278,69.08,7.67,35.92,74.31,33
367,Lima,90,PE,1590157566,62.6,4.7,-12.04,-77.03,88
368,Lázaro Cárdenas,96,MX,1590158279,82.26,2.21,17.96,-102.2,66
369,Caucayá,21,CO,1590158279,88.86,1.66,-0.19,-74.78,59
370,Nhulunbuy,75,AU,1590157517,75.2,10.29,-12.23,136.77,73
371,Poso,100,ID,1590158279,78.35,7.11,-1.4,120.75,84
372,Porto Walter,54,BR,1590158279,89.44,2.3,-8.27,-72.74,54
373,Itarema,11,BR,1590158258,82.29,12.17,-2.92,-39.92,84
374,Puerto Escondido,40,MX,1590158279,82.4,3.36,15.85,-97.07,94
375,Luba,40,GQ,1590158279,86.0,8.05,3.46,8.55,89
376,Umluj,0,SA,1590158279,92.48,6.98,25.02,37.27,37
377,Sibu,75,MY,1590158279,77.0,4.7,2.3,111.82,94
378,Tooele,1,US,1590158096,55.99,3.06,40.53,-112.3,71
379,Jackson,75,US,1590158273,48.0,3.36,42.42,-122.83,75
380,Gravelbourg,100,CA,1590158279,55.11,10.54,49.88,-106.55,51
381,Fonte Boa,11,BR,1590158280,87.67,4.68,-2.5,-66.27,63
382,Yanam,99,IN,1590158280,84.6,4.72,16.73,82.22,85
383,Te Anau,78,NZ,1590158170,43.93,0.45,-45.42,167.72,85
384,Sabha,18,LY,1590158280,91.54,22.46,27.04,14.43,18
385,Debre Tabor,79,ET,1590158280,62.69,7.4,11.85,38.02,73
386,Senneterre,20,CA,1590158280,59.0,8.05,48.38,-77.23,58
387,Finote Selam,100,ET,1590158280,66.7,3.44,10.7,37.27,80
388,Waterfoot,89,GB,1590158280,63.0,13.0,53.69,-2.25,58
389,Giohar,51,SO,1590158280,81.34,14.92,2.78,45.5,72
390,Juneau,75,US,1590158041,48.99,3.36,58.3,-134.42,87
391,Puerto del Rosario,20,ES,1590158280,75.2,18.34,28.5,-13.86,69
392,Chapada dos Guimarães,59,BR,1590158280,87.8,6.93,-15.46,-55.75,58
393,Longyearbyen,20,SJ,1590157876,33.8,6.93,78.22,15.64,64
394,Akçakoca,86,TR,1590158280,54.23,2.82,41.09,31.12,67
395,Sergach,71,RU,1590158281,50.67,8.93,55.53,45.47,74
396,Elko,90,US,1590158215,48.99,5.82,41.0,-115.5,70
397,Kununurra,78,AU,1590158194,62.6,14.99,-15.77,128.73,67
398,Amapá,90,BR,1590157813,78.94,3.83,1.0,-52.0,95
399,Qian’an,100,CN,1590158281,56.75,8.97,44.99,124.06,87
400,Almeirim,10,BR,1590158281,83.39,4.97,-1.52,-52.58,79
401,Cayenne,26,GF,1590157938,84.2,16.11,4.93,-52.33,79
402,Padang,100,ID,1590158129,80.98,4.47,-0.95,100.35,71
403,Kalabo,0,ZM,1590158281,79.43,5.08,-14.97,22.68,26
404,Coruripe,15,BR,1590158281,83.8,11.56,-10.13,-36.18,73
405,Douglas,90,US,1590158281,62.6,6.93,41.3,-96.17,82
406,Beloha,87,MG,1590158281,70.56,14.79,-25.17,45.05,72
407,Selma,59,US,1590158202,61.0,5.93,36.57,-119.61,87
408,Rottingdean,20,GB,1590158281,64.0,21.92,50.81,-0.06,72
409,Novaya Ladoga,89,RU,1590158338,46.99,10.51,60.1,32.3,41
410,Auki,20,SB,1590158192,79.3,4.27,-8.77,160.7,87
411,Neya,100,RU,1590158107,41.2,6.89,58.3,43.87,96
412,Hervey Bay,100,AU,1590158338,57.0,5.01,-25.3,152.85,64
413,Denpasar,20,ID,1590158338,80.6,1.12,-8.65,115.22,100
414,Shamary,8,RU,1590158338,53.11,7.99,57.34,58.22,86
415,Daru,44,PG,1590158338,79.34,7.05,-9.08,143.21,91
416,Boende,72,CD,1590158339,85.28,4.0,-0.22,20.87,62
417,Keningau,20,MY,1590157939,78.8,6.93,5.34,116.16,94
418,Meulaboh,100,ID,1590158065,79.48,4.7,4.14,96.13,85
419,Pochinok,89,RU,1590158339,44.74,12.24,54.41,32.44,84
420,Christchurch,76,NZ,1590158138,44.01,3.36,-43.53,172.63,86
421,Lar,8,IN,1590158339,95.13,6.53,26.2,83.97,19
422,Peterhead,75,GB,1590158124,59.0,24.16,57.51,-1.8,67
423,Shwebo,100,MM,1590158339,93.16,7.87,22.57,95.7,36
424,Santarém,75,BR,1590158339,82.4,11.41,-2.44,-54.71,83
425,Boca do Acre,51,BR,1590158339,90.57,2.35,-8.75,-67.4,54
426,Vila Franca do Campo,75,PT,1590158339,60.8,11.41,37.72,-25.43,93
427,Bairiki Village,40,KI,1590158002,82.4,11.41,1.33,172.98,78
428,Prince Rupert,90,CA,1590158062,48.2,3.36,54.32,-130.32,93
429,Aban,0,RU,1590158340,59.94,5.77,56.67,96.06,46
430,Nakambala,0,ZM,1590158340,71.02,7.43,-15.83,27.78,41
431,Salalah,20,OM,1590158086,87.8,11.41,17.02,54.09,79
432,Beidao,32,CN,1590158340,61.52,2.82,34.57,105.89,78
433,Bouca,68,CF,1590158340,88.86,2.66,6.51,18.27,51
434,Nipawin,1,CA,1590158340,57.2,11.41,53.37,-104.0,67
435,Encinitas,90,US,1590158340,64.0,4.7,33.04,-117.29,77
436,Uauá,62,BR,1590158340,84.88,13.49,-9.84,-39.48,53
437,Okhotsk,97,RU,1590158172,41.27,5.3,59.38,143.3,69
438,Ixtapa,5,MX,1590158341,80.01,3.36,20.7,-105.2,78
439,Winnemucca,90,US,1590158341,42.8,8.05,40.97,-117.74,81
440,Esik,40,KZ,1590158341,73.4,4.47,43.36,77.45,46
441,Manjacaze,1,MZ,1590158341,70.16,5.93,-24.71,33.88,71
442,Abu Kamal,0,SY,1590158341,105.4,9.66,34.45,40.92,7
443,Krasnoarmiys'k,100,UA,1590158341,55.06,10.78,48.28,37.18,61
444,Nizhneangarsk,58,RU,1590158341,48.49,7.65,55.78,109.55,56
445,Rørvik,45,NO,1590158341,50.97,23.82,64.86,11.24,79
446,Dergachi,100,RU,1590158341,55.27,4.76,51.23,48.77,78
447,Riyadh,40,SA,1590158341,104.0,5.82,24.69,46.72,8
448,Morondava,0,MG,1590158342,76.69,8.48,-20.28,44.28,65
449,Lavumisa,0,SZ,1590158342,86.0,1.12,-27.31,31.89,40
450,Mutatá,87,CO,1590158342,84.58,2.71,7.24,-76.44,77
451,Benguela,40,AO,1590158004,84.2,9.17,-12.58,13.41,74
452,Paciran,83,ID,1590158342,81.63,3.8,-6.88,112.38,80
453,Bonavista,48,CA,1590158193,53.01,18.99,48.65,-53.11,77
454,Cuitzeo (La Estancia),20,MX,1590158342,68.0,5.7,20.33,-102.78,42
455,São Filipe,2,CV,1590158342,77.92,14.76,14.9,-24.5,59
456,Palo Alto,1,US,1590158342,57.99,4.56,37.44,-122.14,66
457,Pishin,0,PK,1590158398,77.58,11.16,30.58,67.0,18
458,Khandyga,99,RU,1590158398,43.79,5.66,62.67,135.6,75
459,San Quintín,51,MX,1590158398,62.37,2.59,30.48,-115.95,76
460,Kiryat Gat,0,IL,1590158398,82.99,3.0,31.61,34.76,60
461,Mandalgovi,1,MN,1590158398,45.77,19.82,45.76,106.27,64
462,Yumen,100,CN,1590158398,69.57,5.53,40.28,97.2,28
463,Beaufort,90,MY,1590158399,78.8,2.24,5.35,115.75,94
464,Malanje,75,AO,1590158399,84.2,6.93,-9.54,16.34,74
465,Grand Junction,1,US,1590158228,60.01,16.11,39.06,-108.55,26
466,Novovasylivka,100,UA,1590158399,59.27,12.48,46.83,35.75,49
467,Taguatinga,0,BR,1590158399,85.84,7.49,-12.39,-46.57,54
468,Launceston,0,AU,1590158080,37.99,6.93,-41.45,147.17,93
469,Gondanglegi,99,ID,1590158399,77.47,0.83,-7.75,112.01,88
470,Shimoda,100,JP,1590158066,55.99,11.21,34.67,138.95,94
471,Kologriv,100,RU,1590158399,40.75,10.76,58.83,44.32,95
472,Sinegor'ye,86,RU,1590158399,31.23,3.85,62.08,150.48,94
473,Necochea,43,AR,1590158399,55.99,13.0,-38.55,-58.74,69
474,Cowra,84,AU,1590158399,37.99,1.99,-33.83,148.68,96
475,Japura,77,ID,1590158400,75.97,1.07,-0.32,102.35,95
476,Taiyuan,71,CN,1590158400,77.0,6.71,37.87,112.56,18
477,Broken Hill,40,AU,1590158194,51.8,10.29,-31.95,141.43,81
478,Tombouctou,0,ML,1590158400,103.17,20.15,20.0,-3.0,7
479,Sisimiut,38,GL,1590158200,46.27,9.82,66.94,-53.67,54
480,Wanaka,100,NZ,1590158400,49.51,3.0,-44.7,169.15,77
481,Lopburi,100,TH,1590158400,93.99,9.73,14.8,100.65,52
482,Gaza,0,PS,1590158131,82.99,1.99,31.5,34.47,60
483,Aquiraz,75,BR,1590158393,84.2,10.29,-3.9,-38.39,70
484,Tessalit,0,ML,1590158193,99.99,19.3,20.2,1.01,9
485,Mazamari,75,PE,1590158401,82.85,2.46,-11.33,-74.53,54
486,Merauke,47,ID,1590158401,80.08,10.04,-8.47,140.33,88
487,Baracoa,98,CU,1590158401,83.98,8.77,20.35,-74.5,73
488,Kapoeta,78,SS,1590158401,76.46,16.64,4.77,33.59,76
489,Ugoofaaru,100,MV,1590158401,84.96,14.97,5.67,73.0,76
490,San Miguel de Tucumán,75,AR,1590158182,55.4,11.41,-26.82,-65.22,71
491,Cap Malheureux,9,MU,1590158401,75.0,10.0,-19.98,57.61,70
492,Iporá,34,BR,1590158401,81.07,6.98,-16.44,-51.12,61
493,Yaan,15,NG,1590158401,91.49,4.47,7.38,8.57,47
494,Saurimo,5,AO,1590158401,82.18,5.48,-9.66,20.39,40
495,Poum,100,NC,1590158065,74.12,18.28,-20.23,164.02,74
496,Avera,1,US,1590158174,75.2,6.93,33.19,-82.53,94
497,Parfino,100,RU,1590158402,44.64,10.0,57.97,31.65,65
498,Krivosheino,98,RU,1590158402,56.17,3.36,57.34,83.93,94
499,Ampanihy,99,MG,1590158402,72.25,12.93,-24.7,44.75,64
500,Banda Aceh,100,ID,1590158402,81.86,5.86,5.56,95.32,78
501,Noyabrsk,100,RU,1590158402,64.29,12.73,63.2,75.45,39
502,Pandan,100,PH,1590158458,81.68,4.83,14.05,124.17,84
503,Cortes,27,ES,1590158458,89.6,9.17,41.94,-1.44,27
504,Padampur,0,IN,1590158458,103.64,8.99,29.68,73.62,11
505,Hammerfest,22,NO,1590158249,44.6,10.29,70.66,23.68,52
506,Waycross,1,US,1590158321,81.0,8.05,31.21,-82.35,69
507,Harper,56,LR,1590158458,82.47,9.89,4.38,-7.72,73
508,Palmerston,93,AU,1590158192,73.4,13.87,-12.49,130.98,64
509,Omsukchan,80,RU,1590158458,28.6,4.74,62.53,155.8,89
510,Mezen',100,RU,1590158065,35.85,13.44,65.85,44.24,83
511,Kongoussi,0,BF,1590158459,105.57,4.97,13.33,-1.53,7
512,Clyde River,99,CA,1590158459,30.45,1.39,70.47,-68.59,95
513,Ucluelet,75,CA,1590158213,48.99,4.7,48.93,-125.55,100
514,Kondoa,14,TZ,1590158459,68.88,3.47,-4.9,35.78,64
515,Podgornoye,85,RU,1590158459,57.2,6.71,51.73,39.15,42
516,Sioux Lookout,40,CA,1590158459,68.0,4.7,50.1,-91.92,60
517,Dingli,0,MT,1590158459,75.2,12.75,35.86,14.38,44
518,Camacha,75,PT,1590158220,69.8,14.99,33.08,-16.33,73
519,Santa Fe,100,AR,1590158362,51.01,7.0,-31.63,-60.7,89
520,Jacareacanga,100,BR,1590158460,89.15,4.27,-6.22,-57.75,56
521,Njombe,1,TZ,1590158460,57.67,7.25,-9.33,34.77,77
522,Cody,20,US,1590158460,55.0,5.82,44.53,-109.06,46
523,Jining,36,CN,1590158460,74.75,7.72,35.41,116.58,21
524,Diamantino,78,BR,1590158392,86.95,6.8,-14.41,-56.45,56
525,Verāval,0,IN,1590158406,85.08,15.26,20.9,70.37,75
526,Macklin,32,CA,1590158460,47.39,17.18,52.33,-109.93,69
527,Vila do Maio,20,CV,1590158460,84.2,18.34,15.13,-23.22,45
528,Tocopilla,0,CL,1590158461,71.71,10.89,-22.09,-70.2,41
529,Osmeña,99,PH,1590158461,84.76,10.13,10.52,119.93,74
530,Altay,100,CN,1590158461,56.25,1.07,47.87,88.12,59
531,Kaeo,78,NZ,1590158065,48.99,1.99,-35.1,173.78,3
532,Kattivākkam,75,IN,1590158461,91.4,6.93,13.22,80.32,66
533,Ouango,43,CF,1590158461,87.03,1.59,4.31,22.56,55
534,Broome,1,US,1590158448,70.0,5.82,42.25,-75.83,68
535,Byron Bay,99,AU,1590158461,53.6,10.29,-28.65,153.62,66
536,Hāgere Hiywet,100,ET,1590158461,62.47,1.81,8.98,37.85,87
537,Makakilo City,75,US,1590158325,75.2,4.7,21.35,-158.09,88
538,Vryburg,0,ZA,1590158461,69.06,1.72,-26.96,24.73,31
539,Kavaratti,61,IN,1590158461,84.79,14.0,10.57,72.64,77
540,Marsá Maţrūḩ,19,EG,1590158462,72.91,17.31,31.35,27.25,68
541,Pangnirtung,20,CA,1590157875,28.4,3.36,66.15,-65.71,58
542,Caborca,0,MX,1590158462,68.0,6.73,30.58,-111.1,48
543,Seville,0,ES,1590158404,97.0,5.82,37.38,-5.98,15
544,Mehamn,0,NO,1590158200,46.4,5.82,71.04,27.85,42
545,Jumla,44,NP,1590158188,59.23,2.68,29.27,82.18,60
546,Cervo,100,ES,1590158462,63.0,5.99,43.67,-7.41,1
547,Guilin,75,CN,1590158450,75.2,4.47,25.28,110.29,88
548,Munak,0,IN,1590158462,101.14,6.04,29.52,76.85,10
549,São Miguel do Araguaia,5,BR,1590158518,84.33,7.31,-13.28,-50.16,60
550,Fostoria,90,US,1590158518,62.6,5.82,41.16,-83.42,88
551,Sterling,90,US,1590158443,64.0,6.93,39.01,-77.43,93
552,Baruun-Urt,100,MN,1590158518,49.19,15.59,46.68,113.28,91
553,Bonthe,22,SL,1590158518,85.28,8.84,7.53,-12.51,75
554,Harlingen,90,US,1590158263,84.99,18.34,26.19,-97.7,88
555,Contai,0,IN,1590158518,84.69,15.68,21.78,87.75,85
556,Beringovskiy,100,RU,1590158519,29.89,13.42,63.05,179.32,98
557,Trogir,20,HR,1590158435,75.2,18.34,43.51,16.25,33
558,Vao,98,NC,1590158519,71.8,11.21,-22.67,167.48,64
559,Amalāpuram,91,IN,1590158295,84.85,5.66,16.58,82.02,83
560,Hofn,20,IS,1590158519,55.4,10.29,64.25,-15.21,54
561,General Pico,0,AR,1590158519,54.28,10.27,-35.66,-63.76,45
562,Pocosol,92,CR,1590158519,78.8,6.93,10.37,-84.62,69
563,Tura,74,IN,1590157938,72.07,2.75,25.52,90.22,98
564,Vedeno,40,RU,1590158519,82.4,8.95,42.97,46.09,42
565,Punta Alta,0,AR,1590158306,53.65,6.89,-38.88,-62.07,58
566,Taoudenni,0,ML,1590158519,104.38,17.29,22.68,-3.98,7
567,Porto Santo,75,PT,1590158519,69.8,14.99,33.07,-16.34,73
568,Staveley,58,GB,1590158519,64.99,3.0,53.27,-1.35,46
569,Winneba,20,GH,1590158520,86.0,18.34,5.35,-0.62,70
